symbol,timestamp,open,high,low,close,volume
KO,2018-03-06,43.9500,44.0500,43.5900,43.9300,10010478
KO,2018-03-05,43.5700,43.9350,43.5000,43.8900,11992712
KO,2018-03-02,43.2500,43.8000,43.2400,43.7200,14050081
KO,2018-03-01,43.1000,43.6400,42.8200,43.4300,17746825
KO,2018-02-28,43.8300,43.9100,43.2200,43.2200,11800531
KO,2018-02-27,44.1500,44.3110,43.6200,43.6200,12664020
KO,2018-02-26,44.2300,44.3900,43.8100,44.0300,12631455
KO,2018-02-23,43.5800,44.0600,43.4200,44.0400,7404783
KO,2018-02-22,43.4300,43.8200,43.2200,43.5200,12307608
KO,2018-02-21,44.1100,44.2600,43.3300,43.3400,12724257
KO,2018-02-20,44.7500,44.8300,43.9400,43.9900,14030169
KO,2018-02-16,45.5700,45.6401,44.7200,44.9800,17171198
KO,2018-02-15,44.2500,44.8300,44.1200,44.7800,13422779
KO,2018-02-14,44.0200,44.1900,43.6300,44.1000,13425655
KO,2018-02-13,43.9200,44.4100,43.6900,44.1900,13149647
KO,2018-02-12,43.5600,44.2300,43.3721,43.9700,14646457
KO,2018-02-09,43.3600,43.4600,42.1900,43.1300,22791612
KO,2018-02-08,44.6200,44.6200,43.0700,43.1000,22832594
KO,2018-02-07,44.5800,45.4950,44.2800,44.5600,17967097
KO,2018-02-06,43.8700,44.7400,43.4400,44.6700,25099084
KO,2018-02-05,46.6500,46.9200,44.4110,44.8900,23081141
KO,2018-02-02,47.3500,47.4100,46.6300,46.7300,12773979
KO,2018-02-01,47.4100,47.7300,47.1100,47.4500,10274082
KO,2018-01-31,47.4500,47.9000,47.3700,47.5900,10733824
KO,2018-01-30,47.7300,48.1600,47.4000,47.4100,11861505
KO,2018-01-29,48.2100,48.4600,47.5750,47.7000,11295065
KO,2018-01-26,47.7800,48.6150,47.7400,48.5300,15576029
KO,2018-01-25,47.7000,48.0000,47.7000,47.8400,11743735
KO,2018-01-24,47.5300,47.9500,47.4800,47.8300,15841198
KO,2018-01-23,47.2100,47.7000,47.1300,47.4500,10436965
KO,2018-01-22,47.1400,47.5000,47.0900,47.3800,9496464
KO,2018-01-19,46.9900,47.2500,46.8700,47.1600,15954827
